"col","row","code","name"
7,1,31004,"Janaúba"
8,1,31005,"Salinas"
9,1,31013,"Pedra Azul"
5,2,31001,"Unaí­"
6,2,31003,"Januária"
7,2,31007,"Montes Claros"
8,2,31008,"Grão Mogol"
9,2,31012,"Araçuaí­"
10,2,31014,"Almenara"
5,3,31002,"Paracatu"
6,3,31006,"Pirapora"
7,3,31009,"Bocaiúva"
8,3,31011,"Capelinha"
9,3,31015,"Teófilo Otoni"
10,3,31016,"Nanuque"
5,4,31020,"Patos de Minas"
6,4,31024,"Três Marias"
7,4,31025,"Curvelo"
8,4,31010,"Diamantina"
9,4,31036,"Peçanha"
10,4,31037,"Governador Valadares"
2,5,31017,"Ituiutaba"
3,5,31018,"Uberlândia"
4,5,31019,"Patrocí­nio"
5,5,31026,"Bom Despacho"
6,5,31029,"Pará de Minas"
7,5,31027,"Sete Lagoas"
8,5,31028,"Conceição do Mato Dentro"
9,5,31035,"Guanhães"
10,5,31038,"Mantena"
1,6,31021,"Frutal"
2,6,31022,"Uberaba"
3,6,31023,"Araxá"
4,6,31042,"Piuí­"
5,6,31044,"Formiga"
6,6,31043,"Divinópolis"
7,6,31030,"Belo Horizonte"
8,6,31039,"Ipatinga"
9,6,31040,"Caratinga"
10,6,31041,"Aimorés"
4,7,31047,"Passos"
5,7,31046,"Oliveira"
6,7,31032,"Itaguara"
7,7,31031,"Itabira"
8,7,31033,"Ouro Preto"
9,7,31060,"Ponte Nova"
10,7,31061,"Manhuaçu"
4,8,31048,"São Sebastião do Paraí­so"
5,8,31049,"Alfenas"
6,8,31045,"Campo Belo"
7,8,31034,"Conselheiro Lafaiete"
8,8,31062,"Viçosa"
9,8,31064,"Ubá"
10,8,31063,"Muriaé"
3,9,31051,"Poços de Caldas"
4,9,31053,"Santa Rita do Sapucaí­"
5,9,31050,"Varginha"
6,9,31057,"Lavras"
7,9,31058,"São João Del Rei"
8,9,31059,"Barbacena"
9,9,31066,"Cataguases"
4,10,31052,"Pouso Alegre"
5,10,31056,"Itajubá"
6,10,31054,"São Lourenço"
7,10,31055,"Andrelândia"
8,10,31065,"Juiz de Fora"
