"row","col","name","code","code_ADM1_NAME","code_ADM1_ALTCO","code_ISO_2_ADM1","code_ADM1_VIZ_N"
7,7,"Haut Katanga",7988,"HAUT KATANGA","RDC HKA","CD_HAUT KATANGA","Haut Katanga"
6,5,"Lualaba",7999,"LUALABA","RDC LUA","CD_LUALABA","Lualaba"
6,6,"Haut Lomami",7989,"HAUT LOMAMI","RDC HLO","CD_HAUT LOMAMI","Haut Lomami"
5,3,"Kwango",7996,"KWANGO","RDC KWA","CD_KWANGO","Kwango"
5,5,"Kasai Central",7992,"KASAI CENTRAL","RDC KCE","CD_KASAI CENTRAL","Kasai Central"
5,6,"Lomami",7998,"LOMAMI","RDC LOM","CD_LOMAMI","Lomami"
5,7,"Tanganyika",8009,"TANGANIKA","RDC TAN","CD_TANGANIKA","Tanganika"
4,1,"Kongo Central",7995,"KONGO CENTRAL","RDC KCT","CD_KONGO CENTRAL","Kongo Central"
4,2,"Kinshasa",7994,"KINSHASA","RDC KIN","CD_KINSHASA","Kinshasa"
4,3,"Kwilu",7997,"KWILU","RDC KWI","CD_KWILU","Kwilu"
4,4,"Kasai",7991,"KASAI","RDC KAS","CD_KASAI","Kasai"
4,5,"Kasai Oriental",7993,"KASAI ORIENTAL","RDC KOR","CD_KASAI ORIENTAL","Kasai Oriental"
4,6,"Sud Kivu",8007,"SUD KIVU","RDC SKV","CD_SUD KIVU","Sud Kivu"
3,3,"Maindombe",8000,"MAI NDOMBE","RDC MAI","CD_MAI NDOMBE","Mai ndombe"
3,4,"Tshuapa",8011,"TSHUAPA","RDC TPA","CD_TSHUAPA","Tshuapa"
3,5,"Sankuru",8006,"SANKURU","RDC SAN","CD_SANKURU","Sankuru"
3,6,"Maniema",8001,"MANIEMA","RDC MAN","CD_MANIEMA","Maniema"
2,3,"Equateur",7987,"EQUATEUR","RDC EQT","CD_EQUATEUR","Equateur"
2,4,"Mongala",8002,"MONGALA","RDC MON","CD_MONGALA","Mongala"
2,5,"Tshopo",8010,"TSHOPO","RDC TSH","CD_TSHOPO","Tshopo"
2,6,"Nord Kivu",8003,"NORD KIVU","RDC NKV","CD_NORD KIVU","Nord Kivu"
2,7,"Ituri",7990,"ITURI","RDC ITU","CD_ITURI","Ituri"
1,4,"Sud Ubangi",8008,"SUD UBANGI","RDC SUB","CD_SUD UBANGI","Sud Ubangi"
1,5,"Nord Ubangi",8004,"NORD UBANGI","RDC NUB","CD_NORD UBANGI","Nord Ubangi"
1,6,"Bas Uele",7986,"BAS UELE","RDC BUE","CD_BAS UELE","Bas Uele"
1,7,"Haut Uele",8005,"ORIENTAL","RDC HUE","CD_ORIENTAL","Oriental"
