"code","row","col","name"
94129,1,2,"Presidio"
94123,1,3,"Marina"
94133,1,5,"North Beach/Chinatown"
94111,1,6,"Embarcadero"
94130,1,8,"Treasure Island"
94121,2,1,"Outer Richmond"
94118,2,2,"Inner Richmond"
94115,2,3,"Western Addition/Japantown"
94109,2,4,"Polk/Russian Hill/Nob Hill"
94108,2,5,"Chinatown"
94104,2,6,"Financial District"
94105,2,7,"Rincon Hill"
94122,3,1,"Sunset"
94117,3,3,"Haight-Ashbury"
94102,3,4,"Mid-Market"
94103,3,5,"SOMA"
94107,3,6,"Potrero Hill"
94158,3,7,"Mission Bay"
94116,4,1,"Parkside/Forest Hill"
94131,4,3,"Twin Peaks/Glen Park"
94114,4,4,"Castro/Noe Valley"
94110,4,5,"Mission/Bernal Heights"
94127,4,2,"St. Francis Wood/Miraloma/West Portal"
94124,4,6,"Bayview-Hunters Point"
94132,5,1,"Lake Merced"
94112,5,3,"Ingleside/Excelsior/Crocker Amazon"
94134,5,5,"Visitacion Valley"
