"code","name","row","col"
"Erie",1,1,1
"Warren",2,2,3
"McKean",3,2,4
"Potter",4,2,6
"Tioga",5,2,7
"Bradford",6,2,9
"Susquehanna",7,2,10
"Wayne",8,2,11
"Crawford",9,2,1
"Cameron",10,3,5
"Elk",11,3,4
"Forest",12,3,3
"Pike",13,3,12
"Lackawanna",14,3,11
"Wyoming",15,3,10
"Sullivan",16,3,9
"Lycoming",17,3,7
"Clinton",18,3,6
"Venango",19,3,2
"Mercer",20,3,1
"Jefferson",21,4,4
"Clarion",22,4,3
"Luzerne",23,4,10
"Montour",24,4,8
"Union",25,4,7
"Centre",26,4,6
"Clearfield",27,4,5
"Lawrence",28,4,1
"Butler",29,4,2
"Columbia",30,4,9
"Carbon",34,4,11
"Monroe",33,4,12
"Armstrong",31,5,2
"Indiana",32,5,3
"Schuylkill",35,5,10
"Northumberland",36,5,9
"Snyder",37,5,8
"Mifflin",38,5,6
"Beaver",39,5,1
"Lehigh",41,5,11
"Northampton",40,5,12
"Perry",43,5,7
"Cambria",46,5,4
"Blair",45,5,5
"Allegheny",49,6,2
"Berks",42,6,10
"Juniata",44,6,6
"Dauphin",47,6,8
"Lebanon",48,6,9
"Montgomery",51,6,11
"Bucks",50,6,12
"Cumberland",52,6,7
"Huntingdon",53,6,5
"Westmoreland",54,6,3
"Washington",55,6,1
"Philadelphia",57,7,12
"Delaware",58,7,11
"Chester",59,7,10
"Lancaster",60,7,9
"York",61,7,8
"Adams",62,7,7
"Franklin",63,7,6
"Fulton",64,7,5
"Bedford",65,7,4
"Greene",56,7,1
"Fayette",67,7,2
"Somerset",66,7,3
